IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location,Limiti amministrativi 2014 delle province di Regione Lombardia,Limiti amministrativi 2015 delle province di Regione Lombardia
6886,Biossido di Zolfo,µg/m³,666,Porto Mantovano,29,MN,Porto Mantovano,S,26/09/2003,04/01/2012,5006244,641169,45.19554009017032,10.79726229869026,"(45.19554009017032, 10.79726229869026)",9,9
5707,Ozono,µg/m³,551,Arconate (aria),182,MI,Arconate,N,20/01/1999,,5043898,488082,45.54851735741946,8.847321929216262,"(45.54851735741946, 8.847321929216262)",4,4
6057,Benzene,µg/m³,548,Milano - via Senato,118,MI,Milano,N,01/01/1999,,5035238,515435,45.470499014097,9.197460360112531,"(45.470499014097, 9.197460360112531)",4,4
12676,Benzo(a)pirene,ng/m³,1264,Sondrio - via Paribelli,290,SO,Sondrio,N,22/04/2008,,5113073,567873,46.167852440665115,9.879209924469903,"(46.167852440665115, 9.879209924469903)",3,3
6608,Particolato Totale Sospeso,µg/m³,592,Treviglio,191,BG,Treviglio,S,05/06/1991,28/01/2000,5040815,546236,45.51933498138716,9.592009994888425,"(45.51933498138716, 9.592009994888425)",5,5
6376,Ossidi di Azoto,µg/m³,567,Chiavenna,333,SO,Chiavenna,S,30/10/1993,30/07/2018,5129768,530454,46.320803497826546,9.395590913257395,"(46.320803497826546, 9.395590913257395)",3,3
6640,Particolato Totale Sospeso,µg/m³,531,Limito,114,MI,Pioltello,S,05/06/1989,20/02/1998,5036730,525583,45.48363035323249,9.327360033215145,"(45.48363035323249, 9.327360033215145)",4,4
5533,Biossido di Azoto,µg/m³,530,Agrate,162,MB,Agrate Brianza,S,13/02/1990,30/07/2018,5046977,527628,45.57578475922807,9.354105650819204,"(45.57578475922807, 9.354105650819204)",12,12
6898,Biossido di Azoto,µg/m³,668,Mantova - Lunetta 2,25,MN,Mantova,S,01/01/2003,30/07/2018,5002119,643358,45.157985278189244,10.823931433968092,"(45.157985278189244, 10.823931433968092)",9,9
12696,Nikel,ng/m³,609,Casirate d`Adda,108,BG,Casirate d'Adda,N,24/04/2008,,5038450,543458,45.49822713394494,9.556232262351761,"(45.49822713394494, 9.556232262351761)",5,5
5722,Ozono,µg/m³,547,Milano - Parco Lambro,123,MI,Milano,S,03/05/1995,01/01/2018,5038480,519323,45.499583690483405,9.247326889507654,"(45.499583690483405, 9.247326889507654)",4,4
5826,Monossido di Carbonio,mg/m³,546,Magenta,137,MI,Magenta,N,22/04/1995,,5034328,490635,45.462415791106615,8.880210433125571,"(45.462415791106615, 8.880210433125571)",4,4
6646,Particolato Totale Sospeso,µg/m³,514,Rho - via Statuto,152,MI,Rho,S,11/10/1991,09/06/1999,5041100,503483,45.523425662003476,9.044599871111005,"(45.523425662003476, 9.044599871111005)",4,4
