Subject,ZCTA5 10472,,,ZCTA5 11428,,,ZCTA5 11432,,,ZCTA5 11226,,,ZCTA5 11416,,,ZCTA5 10452,,,ZCTA5 11436,,,ZCTA5 11208,,,ZCTA5 10031,,,ZCTA5 11433,,,ZCTA5 11203,,,ZCTA5 11236,,,ZCTA5 11377,,,ZCTA5 10468,,,ZCTA5 11421,,,ZCTA5 11691,,,ZCTA5 11237,,,ZCTA5 11219,,,ZCTA5 11411,,,ZCTA5 11232,,,ZCTA5 11429,,,ZCTA5 11373,,,ZCTA5 11372,,,ZCTA5 11369,,,ZCTA5 11368,,
,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct
S1. HOUSEHOLDS BY TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: Total households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Spouse,6487,+/- 459,9.5,3569,+/- 204,18.9,9080,+/- 456,15.8,9849,+/- 517,9.9,3976,+/- 231,14.7,5929,+/- 473,7.9,2307,+/- 197,11.6,10633,+/- 587,10.8,5182,+/- 470,8.7,3489,+/- 386,9.6,8640,+/- 540,11.7,11712,+/- 544,11.9,12971,+/- 635,15.1,7197,+/- 580,9.3,5916,+/- 352,14.4,7813,+/- 580,12.1,4364,+/- 416,9.1,15561,+/- 589,17.5,2794,+/- 172,13.5,3590,+/- 326,14,3393,+/- 270,12.4,13850,+/- 654,14.8,8801,+/- 676,14.3,4495,+/- 298,13.6,12128,+/- 762,10.9
  Child,25389,+/- 1302,37.3,6582,+/- 460,34.8,18024,+/- 945,31.4,30376,+/- 1440,30.5,9120,+/- 638,33.7,30563,+/- 1372,40.6,6673,+/- 374,33.7,35611,+/- 1346,36.3,14354,+/- 1337,24,13381,+/- 863,36.8,23562,+/- 1171,32,33498,+/- 1434,33.9,22694,+/- 1156,26.4,27804,+/- 1370,36,13833,+/- 787,33.8,25875,+/- 1848,40.2,13365,+/- 1129,27.9,38395,+/- 1840,43.2,6795,+/- 435,32.8,7336,+/- 579,28.7,9641,+/- 632,35.3,25456,+/- 1282,27.2,16133,+/- 1105,26.2,10239,+/- 566,30.9,35316,+/- 1545,31.6
  Other relatives,9822,+/- 1039,14.4,2818,+/- 372,14.9,8448,+/- 768,14.7,14894,+/- 1179,15,5283,+/- 506,19.5,9050,+/- 1067,12,3865,+/- 478,19.5,14849,+/- 1187,15.1,8184,+/- 1211,13.7,6726,+/- 831,18.5,10213,+/- 739,13.9,16335,+/- 1094,16.5,10992,+/- 1088,12.8,11598,+/- 1185,15,6967,+/- 625,17,7638,+/- 1102,11.9,4904,+/- 777,10.3,7370,+/- 790,8.3,4016,+/- 434,19.4,2878,+/- 406,11.2,5401,+/- 618,19.8,15116,+/- 1203,16.1,6293,+/- 963,10.2,5741,+/- 627,17.3,21490,+/- 1607,19.2
  Nonrelatives,4435,+/- 593,6.5,380,+/- 144,2,3321,+/- 542,5.8,7638,+/- 798,7.7,1445,+/- 264,5.3,3628,+/- 671,4.8,1401,+/- 315,7.1,4748,+/- 720,4.8,10038,+/- 1378,16.8,2236,+/- 494,6.2,3544,+/- 480,4.8,3936,+/- 431,4,8055,+/- 838,9.4,4341,+/- 653,5.6,2624,+/- 472,6.4,2433,+/- 535,3.8,8468,+/- 834,17.7,3190,+/- 512,3.6,860,+/- 231,4.1,2970,+/- 408,11.6,1499,+/- 350,5.5,8894,+/- 1060,9.5,6495,+/- 1087,10.6,2337,+/- 388,7.1,14273,+/- 1529,12.8
  Unmarried partner,1342,+/- 278,2,70,+/- 36,0.4,625,+/- 149,1.1,2341,+/- 303,2.4,444,+/- 117,1.6,1343,+/- 286,1.8,362,+/- 93,1.8,1357,+/- 285,1.4,1424,+/- 256,2.4,552,+/- 125,1.5,1142,+/- 193,1.5,1386,+/- 213,1.4,2222,+/- 340,2.6,1604,+/- 304,2.1,669,+/- 137,1.6,762,+/- 234,1.2,1676,+/- 270,3.5,689,+/- 167,0.8,170,+/- 66,0.8,978,+/- 167,3.8,308,+/- 109,1.1,1252,+/- 231,1.3,1718,+/- 360,2.8,531,+/- 119,1.6,2805,+/- 404,2.5
  Unmarried-partner HHs per 1000,61,+/- 10,,13,+/- 10,,34,+/- 10,,64,+/- 10,,62,+/- 20,,51,+/- 10,,65,+/- 20,,42,+/- 10,,65,+/- 10,,52,+/- 10,,41,+/- 10,,42,+/- 10,,71,+/- 10,,61,+/- 10,,57,+/- 10,,37,+/- 10,,100,+/- 20,,28,+/- 10,,27,+/- 10,,111,+/- 20,,42,+/- 10,,41,+/- 10,,72,+/- 20,,52,+/- 10,,98,+/- 10,
S4. MARITAL STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: Population 15 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons 15 years and over,53058,+/- 1302,,15930,+/- 750,,51261,+/- 1778,,81503,+/- 2126,,21874,+/- 916,,58041,+/- 1668,,16355,+/- 785,,75889,+/- 1655,,52006,+/- 1735,,29482,+/- 1451,,62356,+/- 1531,,81860,+/- 1832,,73892,+/- 2209,,60410,+/- 1611,,33645,+/- 1011,,49175,+/- 1927,,40503,+/- 1534,,61571,+/- 1715,,17714,+/- 616,,22510,+/- 1317,,23147,+/- 1101,,78381,+/- 1937,,52218,+/- 2094,,28012,+/- 1191,,86100,+/- 2364,
  Never married,25876,+/- 1301,48.8,5295,+/- 436,33.2,20165,+/- 1095,39.3,42426,+/- 1424,52.1,8017,+/- 542,36.7,30005,+/- 1220,51.7,7240,+/- 535,44.3,38778,+/- 1271,51.1,28949,+/- 1547,55.7,15497,+/- 974,52.6,27917,+/- 1073,44.8,37834,+/- 1294,46.2,30889,+/- 1328,41.8,28418,+/- 1294,47,12769,+/- 648,38,21254,+/- 1384,43.2,24256,+/- 1187,59.9,17702,+/- 855,28.8,6993,+/- 423,39.5,10209,+/- 974,45.4,11311,+/- 699,48.9,28462,+/- 1436,36.3,21583,+/- 1445,41.3,11594,+/- 689,41.4,38026,+/- 1617,44.2
